"Empfänger";"Politikbereich";"Art";"Jahr";"Anschrift";"Geber";"Zuwendungsbereich";"Betrag"
"ARBLI GmbH";"Arbeit";"Projektförderung";"2009";"Köpenicker Str. 325 b; 12555 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Soziales Engagement II";"15739"
"MUT Gesellschaft für Gesundheit mbH";"Arbeit";"Projektförderung";"2009";"Rudolfstr. 11; 10245 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Begegnungen in Mitte - Laufmasche";"5910"
"GWA Umwelt Concept GmbH";"Arbeit";"Projektförderung";"2009";"Alexanderstrasse 7; 10178 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Bestandserfassung und Dokumentation von Denkmalen";"5779"
"Kulturring in Berlin e.V.";"Arbeit";"Projektförderung";"2009";"Friedrichstraße 128; 10117 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Kultur im Studio";"8394"
"Stadtteilverein Tiergarten e.V.";"Arbeit";"Projektförderung";"2009";"Pohlstr. 89; 10785 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Nachbarschaftszentrum in Tiergarten 2008 - 2011";"74315"
"SchreibART e.V. (c/o Jürgen Kögel)";"Arbeit";"Projektförderung";"2009";"Charlottenstraße 43; 13156 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Archiv Schreibende Arbeiter/innen 2";"7673"
"Berlin macht mit e.V.";"Arbeit";"Projektförderung";"2009";"Boelkestr. 22; 12101 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Soziale Betreuung 2";"7221"
"INBITEC e.V. Institut biologisch medizinische Forschung & Technologie";"Arbeit";"Projektförderung";"2009";"Am Sandhaus 31; 13125 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Photovoltaik - Demo I-c";"7728"
"AGRARBÖRSE Deutschland Ost e.V.";"Arbeit";"Projektförderung";"2009";"Eichenstraße 2; 12435 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Erfindungen und Erfinder im Bezirk Pankow";"25294"
"Zukunftsbau GmbH";"Arbeit";"Projektförderung";"2009";"Strelitzer Straße 60; 10115 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - KidSch - Künstler/innen in die Schulen Tempelhof-Schöneberg";"21545"
"Kulturring in Berlin e.V.";"Arbeit";"Projektförderung";"2009";"Friedrichstraße 128; 10117 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Bücherpower";"5394"
"kiezküchen-ausbildungs-gmbH";"Arbeit";"Projektförderung";"2009";"Heinrich-Mann-Straße 31; 13156 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Beikoch";"6820"
"Zukunftsbau GmbH";"Arbeit";"Projektförderung";"2009";"Strelitzer Straße 60; 10115 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - KidSch - Künstler/innen in die Schulen Pankow II";"28323"
"Diakonisches Werk Berlin Stadtmitte e.V.";"Arbeit";"Projektförderung";"2009";"Zossener Straße 65; 10961 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Senioren- und Migrantentreffpunkt Zeughofstraße II_1";"10563"
"GfbZ Gesellschaft für berufliche Zukunft mbH";"Arbeit";"Projektförderung";"2009";"Liebermannstr. 75; 13088 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Schülerclub im Turm 1";"5254"
"Förderband e. V. Kulturinitiative Berlin";"Arbeit";"Projektförderung";"2009";"Torstraße 150; 10119 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Gemeinwesen und Museumspädagogische Arbeit in Lichtenberg";"11523"
"Eingliederungshilfe e. V.";"Arbeit";"Projektförderung";"2009";"Segitzdamm 2; 10969 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Passage";"33023"
"Sozialwissenschaftliches Forschungszentrum Berlin-Brandenburg e.V.";"Arbeit";"Projektförderung";"2009";"Köpenicker Straße 125; 10179 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Sozialanalyse Marzahn-Hellersdorf";"15193"
"Bildung-Umschulung-Soziales (BUS) gGmbH";"Arbeit";"Projektförderung";"2009";"Krummhübler Str. 1; 10317 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Modellbau von Gebäuden im Maßstab 1:25 in Spandau";"25182"
"SOZIALWERK des Demokratischen Frauenbundes (Dachverband) e.V.";"Arbeit";"Projektförderung";"2009";"Hagenstraße 57; 10365 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Betreuungsservice für Senioren";"4197"
"BORA e.V.";"Arbeit";"Projektförderung";"2009";"Berliner Allee 130; 13088 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Unterstützung der Frauenprojekte bei BORA e.V. - 1";"14062"
"Kinderring Berlin e.V";"Arbeit";"Projektförderung";"2009";"Schwedter Str. 232-234; 10435 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Assistenz für sozio-kulturelle Projektarbeit im Kulturhochhaus Marzahn";"4709"
"Caritasverband für das Erzbistum Berlin e.V.";"Arbeit";"Projektförderung";"2009";"Residenzstraße 90; 13409 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Zusätzliche Assistenzleistungen in Einrichtungen des Caritasverbandes";"16949"
"kiezküchen-ausbildungs-gmbH";"Arbeit";"Projektförderung";"2009";"Heinrich-Mann-Straße 31; 13156 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - ÖBS- Beiköchin";"6305"
"ARIBA e.V.";"Arbeit";"Projektförderung";"2009";"Oranienstraße 159; 10969 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Beratung von Gewerbetreibenden mit Migrationshintergrund";"7147"
"Schildkröte GmbH";"Arbeit";"Projektförderung";"2009";"Boppstraße 7; 10967 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Regionale Hilfen in Mitte";"37149"
"KUBUS e.V.";"Arbeit";"Projektförderung";"2009";"Pestalozzistraße 5-8; 13187 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Kreativwerkstatt Pankow 2";"13640"
"Netzwerk Spiel Kultur Prenzlauer Berg e. V.";"Arbeit";"Projektförderung";"2009";"Kollwitzstraße 37; 10405 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Projekthelfer";"13097"
"Kindervilla Waldemar e.V.";"Arbeit";"Projektförderung";"2009";"Markgrafenstrasse 15 a; 10969 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Unterstützung in Küche und Haus in der Kindervilla 2";"3102"
"Zukunftsbau GmbH";"Arbeit";"Projektförderung";"2009";"Strelitzer Straße 60; 10115 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - KidSch - Künstler/innen in die Schulen Pankow III";"16185"
"Fördern durch Spielmittel - Spielzeug für behinderte Kinder e.V.";"Arbeit";"Projektförderung";"2009";"Immanuelkirchstr. 24; 10405 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Integration, Spiel und Förderung (Integration I)";"6664"
"GfbZ Gesellschaft für berufliche Zukunft mbH";"Arbeit";"Projektförderung";"2009";"Liebermannstr. 75; 13088 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Ökologisches Schulumfeld 2";"6830"
"Moabiter Ratschlag e.V.";"Arbeit";"Projektförderung";"2009";"Rostocker Str. 32; 10553 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Nachbarschaftszentrum im Moabit 2008 - 2010 - 2";"70224"
"OASE Pankow e.V.";"Arbeit";"Projektförderung";"2009";"Schönfließer Straße 7; 10439 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Begegnungsstätte Café Multi-Kulti im InterKULTURellen Haus Pankow 2";"7005"
"kiezküchen-ausbildungs-gmbH";"Arbeit";"Projektförderung";"2009";"Heinrich-Mann-Straße 31; 13156 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Servierhilfe FK3";"5246"
"IFAD GmbH - Institut für angewandte Demographie";"Arbeit";"Projektförderung";"2009";"Bizetstrasse 48/50; 13088 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Territoriale Infrastrukturentwicklung - soziale, ökonomische und ökologische Entwicklungspotenziale";"6650"
"Tandem Beschäftigungs-u. Qualifizierungs gGmbH";"Arbeit";"Projektförderung";"2009";"Bülowstraße 90; 10783 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Ausbildungshelfer für behinderte und benachteiligte Jugendliche Pankow I";"7600"
"Tandem Beschäftigungs-u. Qualifizierungs gGmbH";"Arbeit";"Projektförderung";"2009";"Bülowstraße 90; 10783 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Alltagshilfen und Begleitservice für Seniorinnen im Bezirk Neukölln";"11692"
"INBITEC e.V. Institut biologisch medizinische Forschung & Technologie";"Arbeit";"Projektförderung";"2009";"Am Sandhaus 31; 13125 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Photovoltaik - Demo II-b";"12859"
"Kulturring in Berlin e.V.";"Arbeit";"Projektförderung";"2009";"Friedrichstraße 128; 10117 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Verfolgung von Homosexuellen im Nationalsozialismus";"70925"
"Frauenzentrum Schokoladenfabrik e. V.";"Arbeit";"Projektförderung";"2009";"Naunynstrasse 72; 10997 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Unterstützung des Deutsch- und Integrationskurses";"2843"
"Nachbarschaftshaus Centrum e.V.";"Arbeit";"Projektförderung";"2009";"Cuvrystr. 13-14; 10997 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Bewirtung des Familiencafes im Nachbarschaftshaus Centrum";"7838"
"Bildungsmarkt e.V.";"Arbeit";"Projektförderung";"2009";"Heinrich-Mann-Straße 31; 13156 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Stellenakquisiteur";"1049"
"BUF - Bildungseinrichtung für berufliche Umschulung und Fortbildung im Berufsförderwerk Bekleidung e.V.";"Arbeit";"Projektförderung";"2009";"Rigaer Str. 73; 10247 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Mitarbeiter in den Jugendverkehrsschulen 5";"8394"
"BBJ SERVIS gGmbH - Träger für kommunale Beschäftigung";"Arbeit";"Projektförderung";"2009";"Greifswalder Str. 208; 10405 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Hilfe im Alltag - Begleitung und Besuchsdienst für Senior/innen";"62858"
"BQG ""Ankunft"" gGmbH";"Arbeit";"Projektförderung";"2009";"Strausberger Str. 3; 10243 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Kulturladen";"6820"
"Diakonisches Werk Berlin Stadtmitte e.V.";"Arbeit";"Projektförderung";"2009";"Zossener Straße 65; 10961 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Arbeitsbereiche Gemeinde und Kindertagesstätte in Tabor I";"30917"
"Hedwig-Wachenheim-Gesellschaft e.V.";"Arbeit";"Projektförderung";"2009";"Oderstr. 16; 10247 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Seniorenbetreuung";"6020"
"Tandem Beschäftigungs-u. Qualifizierungs gGmbH";"Arbeit";"Projektförderung";"2009";"Bülowstraße 90; 10783 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Ausbildungshelfer II Reinickendorf";"21033"
"Pfefferwerk Stadtkultur gGmbH";"Arbeit";"Projektförderung";"2009";"Fehrbelliner Str. 92; 10119 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Jugendhilfe-Assistenz Jugendfreizeiteinrichtung Dimi";"5254"
"HPP Haus Phönix Pankow gGmbH";"Arbeit";"Projektförderung";"2009";"Gaillardstraße 10; 13187 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Obdachlosenhilfe (Sozial Betreutes Wohnen für ehemals Alkohol- und Drogenabhängige)";"1656"
"Juventus e.V. - Jugendförderverein";"Arbeit";"Projektförderung";"2009";"Gehringstraße 39; 13088 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Multimedia";"18933"
"mob - obdachlose machen mobil e.V.";"Arbeit";"Projektförderung";"2009";"Prenzlauer Allee 87; 10405 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Migration und Wohnungslosigkeit 2";"13640"
"Förderband e. V. Kulturinitiative Berlin";"Arbeit";"Projektförderung";"2009";"Torstraße 150; 10119 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Vielfalt fördern Mitte III";"18445"
"Diakonisches Werk Berlin Stadtmitte e.V.";"Arbeit";"Projektförderung";"2009";"Zossener Straße 65; 10961 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Arbeitsbereiche Gemeinde und Kindertagesstätte in Tabor II";"11544"
"Freunde der Ratten e.V.";"Arbeit";"Projektförderung";"2009";"Revaler Straße 99; 10245 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Das obdachlose Theater RATTEN 07";"3954"
"CABUWAZI Kinder und Jugendzirkus e.V.";"Arbeit";"Projektförderung";"2009";"Bouchéstr. 75; 12435 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Zirkusleben";"7142"
"FSV Berolina Stralau 1901 e.V.";"Arbeit";"Projektförderung";"2009";"Lasker-Sportpl., Persiusstr. 7; 10245 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Unterstützung bei Verwaltung und Anlagenpflege des Lasker-Sportplatzes im kommunalen Interesse 1";"3870"
"ajb gmbh gemeinnützige Gesellschaft für Jugendberatung und psychosoziale Rehabilitation";"Arbeit";"Projektförderung";"2009";"Kottbusser Damm 79a; 10967 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Rund ums Waschen und Nähen 1";"88139"
"OASE Pankow e.V.";"Arbeit";"Projektförderung";"2009";"Schönfließer Straße 7; 10439 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Begegnungsstätte Café Multi-Kulti im InterKULTURellen Haus Pankow 4";"7974"
"GfbZ Gesellschaft für berufliche Zukunft mbH";"Arbeit";"Projektförderung";"2009";"Liebermannstr. 75; 13088 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Multimediale Unterstützung der Blindenhörbücherei";"11640"
"Gesellschaft für Arbeitsförderung mbH";"Arbeit";"Projektförderung";"2009";"Herzbergstraße 55; 10365 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Eine Reise ins alte Berlin";"64159"
"GrenzKultur gGmbH";"Arbeit";"Projektförderung";"2009";"Dunckerstr. 2a; 10437 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Zirkuskulturwerkstatt";"21002"
"Pfefferwerk Stadtkultur gGmbH";"Arbeit";"Projektförderung";"2009";"Fehrbelliner Str. 92; 10119 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Unterstützung der (interkulturellen) Elternarbeit";"2623"
"ARBLI GmbH";"Arbeit";"Projektförderung";"2009";"Köpenicker Str. 325 b; 12555 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Mobilitätshilfen";"18893"
"Berliner Stadtmission Gemeinnützige Diakonie Betriebs GmbH";"Arbeit";"Projektförderung";"2009";"Lehrter Str. 68; 10557 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Jugendbetreuung";"6355"
"Radijojo! gGmbH";"Arbeit";"Projektförderung";"2009";"Reinickendorfer Str. 55; 13347 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Radiokurse für Kinder aus Berlin-Mitte für weltweiten interkulturellen Austausch mit speziell künstlerischen Schwerpunkt";"110293"
"Pankower Früchtchen gGmbH";"Arbeit";"Projektförderung";"2009";"Berliner Str. 120/121; 13187 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Begegnungscafé Wilhelmsruh 2";"6295"
"Kulturring in Berlin e.V.";"Arbeit";"Projektförderung";"2009";"Friedrichstraße 128; 10117 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Frauen in Handwerk und Technik 1";"45100"
"Jahresringe e. V.";"Arbeit";"Projektförderung";"2009";"Boxhagener Str. 18; 10243 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Besucherservice im Zoo";"15739"
"Frei-Zeit-Haus Weißensee e.V.";"Arbeit";"Projektförderung";"2009";"Pistoriusstraße 23; 13086 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Unterstützung von Familien";"8173"
"Bildungsstätte Berlin-Mitte des Beruflichen Bildungszentrums der Prignitzer Wirtschaft e.V.";"Arbeit";"Projektförderung";"2009";"Warschauer Str. 36/38; 10243 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Bildung, Kultur, Migration";"3420"
"Humanistischer Verband Deutschlands, Landesverband Berlin e.V.";"Arbeit";"Projektförderung";"2009";"Wallstraße 61-65; 10179 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Koordination in den ehrenamtlichen Senioren-Computerclubs des HVD";"7930"
"Sportverein Pfefferwerk e.V.";"Arbeit";"Projektförderung";"2009";"Fehrbelliner Str. 92; 10119 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Unterstützung des integrativen Kinder- und Jugendsports";"4721"
"SHG - Selbsthilfegruppe sowie Bildungs- und Beratungsstelle von und für Anfallkranke e.V.";"Arbeit";"Projektförderung";"2009";"Finowstraße 35; 10247 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Mitarbeiter im sozialen Bereich";"6538"
"Sport für Berlin gBQGmbH";"Arbeit";"Projektförderung";"2009";"Priesterweg 6; 10829 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Kick - Sport gegen Jugenddeliquenz";"2098"
"Evas Arche e.V. -Ökumenisches Frauenzentrum-";"Arbeit";"Projektförderung";"2009";"Große Hamburger Str. 28; 10115 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Flexible Kinderbetreuung";"13390"
"Lebenswege Hausgemeinschaften gGmbH";"Arbeit";"Projektförderung";"2009";"Gubener Straße 49; 10243 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Tagesstrukturierendes Angebot für Menschen mit Schwerstmehrfachbehinderungen";"7126"
"Sportverein Pfefferwerk e.V.";"Arbeit";"Projektförderung";"2009";"Fehrbelliner Str. 92; 10119 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Unterstützung des integrativen Kindersports";"6295"
"ARBLI GmbH";"Arbeit";"Projektförderung";"2009";"Köpenicker Str. 325 b; 12555 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Koordinator Kulturprojekte";"5246"
"Zentralwohlfahrtsstelle der Juden in Deutschland e.V. - ZWST-Berlin";"Arbeit";"Projektförderung";"2009";"Oranienburger Straße 31; 10117 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Hatikva I";"12076"
"MUT Gesellschaft für Gesundheit mbH";"Arbeit";"Projektförderung";"2009";"Rudolfstr. 11; 10245 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Erziehungshelferin in der Kita Putte e.V.";"3755"
"Evangelische Kirchengemeinde Berlin-Karow";"Arbeit";"Projektförderung";"2009";"Alt-Karow 55; 13125 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Betreuungshelfer";"6780"
"kiezküchen-ausbildungs-gmbH";"Arbeit";"Projektförderung";"2009";"Heinrich-Mann-Straße 31; 13156 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Wäscherin";"4474"
"ARBLI GmbH";"Arbeit";"Projektförderung";"2009";"Köpenicker Str. 325 b; 12555 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Spielzeugreparaturen Teil 2";"16369"
"Tandem Beschäftigungs-u. Qualifizierungs gGmbH";"Arbeit";"Projektförderung";"2009";"Bülowstraße 90; 10783 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Alltagshilfe und Begleitservice für SeniorInnen in Reinickendorf";"9360"
"Pfefferwerk Stadtkultur gGmbH";"Arbeit";"Projektförderung";"2009";"Fehrbelliner Str. 92; 10119 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Unterstützung des Info-Points im Nachbarschaftshaus";"6820"
"CABUWAZI Kinder und Jugendzirkus e.V.";"Arbeit";"Projektförderung";"2009";"Bouchéstr. 75; 12435 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Zirkus und Jugend_1";"9458"
"kiezküchen-ausbildungs-gmbH";"Arbeit";"Projektförderung";"2009";"Heinrich-Mann-Straße 31; 13156 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Servierhilfe";"2101"
"Tandem Beschäftigungs-u. Qualifizierungs gGmbH";"Arbeit";"Projektförderung";"2009";"Bülowstraße 90; 10783 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Alltagshilfe und Begleitservice für SeniorInnen in Spandau";"21046"
"KREATIVHAUS e.V.";"Arbeit";"Projektförderung";"2009";"Fischerinsel 3; 10179 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Ampelwicht- mobile verkehrspädagogische Beratung";"3182"
"Kotti e.V.";"Arbeit";"Projektförderung";"2009";"Dresdener Straße 10; 10999 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Step by Step in die Selbstständigkeit";"3461"
"KBW e.V. - Betreuungswerk Berlin";"Arbeit";"Projektförderung";"2009";"Eitelstraße 86; 10317 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Sozialbetreuer";"6295"
"Pfefferwerk Stadtkultur gGmbH";"Arbeit";"Projektförderung";"2009";"Fehrbelliner Str. 92; 10119 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Jugend- und Familienhilfe-Assistenz, Beratung und Krisenunterkunft";"6820"
"Albatros e. V.";"Arbeit";"Projektförderung";"2009";"Berliner Straße 14; 13507 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Projektentwicklung";"6305"
"MUT Gesellschaft für Gesundheit mbH";"Arbeit";"Projektförderung";"2009";"Rudolfstr. 11; 10245 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Einsatzbeauftragter in der Tagesstätte für Obdachlose";"2976"
"GEBEWO pro GmbH";"Arbeit";"Projektförderung";"2009";"Geibelstraße 77/78; 12305 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Wohnungslosen- und Suchtkrankenhilfe Pankow";"14593"
"NaturFreunde Berlin e.V.";"Arbeit";"Projektförderung";"2009";"Ringstr. 76/77; 12205 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - BEZ-Projekt NaturFreundehaus Hermsdorfer Fließtal";"12591"
"Stern-Radio Berlin GmbH";"Arbeit";"Projektförderung";"2009";"Liebermannstr. 75; 13088 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Jugendklub";"13640"
"Zukunftsbau GmbH";"Arbeit";"Projektförderung";"2009";"Strelitzer Straße 60; 10115 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Berliner helfen Berlinern 2";"12047"
"CABUWAZI Kinder und Jugendzirkus e.V.";"Arbeit";"Projektförderung";"2009";"Bouchéstr. 75; 12435 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Modellprojekt";"5874"
"Tandem Beschäftigungs-u. Qualifizierungs gGmbH";"Arbeit";"Projektförderung";"2009";"Bülowstraße 90; 10783 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Alltagshilfe und Begleitservice Reinickendorf";"21558"
"Goldnetz gGmbH";"Arbeit";"Projektförderung";"2009";"Dircksenstr. 47; 10178 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Organisation und Durchführung bezirklicher Sozialmärkte in Mitte/ Veranstaltungsorganisation";"28000"
"Pfefferwerk Stadtkultur gGmbH";"Arbeit";"Projektförderung";"2009";"Fehrbelliner Str. 92; 10119 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Assistenz in einer Anlaufstelle für Jugendliche";"6820"
"SOZIALWERK des Demokratischen Frauenbundes (Dachverband) e.V.";"Arbeit";"Projektförderung";"2009";"Hagenstraße 57; 10365 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Nachbarschafts- und Begegnungsstätte Club Spittelkolonnaden- Veranstaltungsorganisation und Öffentlichkeitsarbeit";"6295"
"Moabiter Ratschlag e.V.";"Arbeit";"Projektförderung";"2009";"Rostocker Str. 32; 10553 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Nachbarschaftszentrum im Moabit 2008 - 2011- 1";"16800"
"Freie Hilfe Berlin e.V.";"Arbeit";"Projektförderung";"2009";"Brunnenstr. 28; 10119 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Hilfe im Umgang mit Behörden";"2624"
"BUF - Bildungseinrichtung für berufliche Umschulung und Fortbildung im Berufsförderwerk Bekleidung e.V.";"Arbeit";"Projektförderung";"2009";"Rigaer Str. 73; 10247 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Info-Tafeln Karl-Marx-Allee";"25332"
